gliederungsschluessel,gliederungsebene,name,url
10300400,KV,Berlin-Charlottenburg/Wilmersdorf,http://gruene-cw.de/
10300500,KV,Berlin-Spandau,www.gruene-spandau.de
10300600,KV,Berlin-Steglitz/Zehlendorf,http://www.gruene-suedwest.de
10300700,KV,Berlin-Tempelhof/Schöneberg,http://www.gruene-ts.de/
10300800,KV,Berlin-Neukölln,http://www.gruene-neukoelln.de
10300900,KV,Berlin-Treptow/Köpenick,http://www.gruene-treptow-koepenick.de/
10301000,KV,Berlin-Marzahn/Hellersdorf,http://www.gruenemarzahnhellersdorf.de
10301100,KV,Berlin-Lichtenberg,http://www.gruene-lichtenberg.de
10301200,KV,Berlin-Reinickendorf,http://gruene-reinickendorf.de/
10301300,KV,Berlin-Kreisfrei,
10400000,LV,Bremen,http://www.gruene-bremen.de
10400100,KV,Bremerhaven,http://www.gruene-bremerhaven.de/
10400200,KV,Bremen-Nord,http://www.gruene-bremen-nord.de
10400300,KV,Bremen-Ost,http://www.gruene-bremen-ost.de
10400400,KV,Bremen-Mitte,http://www.gruene-bremen-mitte.de
10400500,KV,Bremen-Nordost,http://www.gruene-bremen-nordost.de
10400600,KV,Bremen-Kreisfrei,
10400700,KV,Bremen Links der Weser (LdW),
10500000,LV,Brandenburg,http://www.gruene-brandenburg.de
10500100,KV,Barnim,http://www.gruene-barnim.de
10500101,OV,Niederbarnim,http://www.gruene-niederbarnim.de
10500200,KV,Brandenburg/Havel,http://www.gruene-kv-brb.de/
10500300,KV,Cottbus,http://www.gruene-cottbus.de
10500400,KV,Elbe-Elster,http://www.gruenee.de
10500500,KV,Frankfurt-Oder,http://www.gruene-frankfurt-oder.de
10500600,KV,Havelland,http://www.gruene-havelland.de
10500601,OV,Falkensee,
10500602,OV,Westhavelland,
10500603,OV,Wustermark,
10500605,OV,Dallgow-Döberitz,
10500606,OV,Brieselang,
10500700,KV,Oberhavel,http://www.gruene-ohv.de
10500701,OV,Hohen Neuendorf,
10500703,OV,Oranienburg,
10500705,OV,Glienicke,
10500800,KV,Oberspreewald-Lausitz,http://www.gruene-osl.de/
10500900,KV,Spree-Neiße,www.gruene-spn.de
10501000,KV,Teltow-Fläming,http://www.gruene-teltow-flaeming.de
10501001,OV,Blankenfelde-Mahlow,
10501002,OV,Rangsdorf,
10501100,KV,Ostprignitz-Ruppin,http://www.buendnisgruenes-opr.de/
10501101,OV,Kleeblatt,
10501200,KV,Märkisch-Oderland,http://www.gruene-mol.de
10501201,OV,Neuenhagen,
10501202,OV,Strausberg,
10501203,OV,Lebuser Land und Oderbruch,
10501300,KV,Potsdam,http://www.gruene-potsdam.de
10501400,KV,Oder-Spree,http://www.gruene-oder-spree.de
10501401,OV,Fürstenwalde,
10501402,OV,Woltersdorf,
10501403,OV,Schöneiche,
10501500,KV,Potsdam-Mittelmark,http://www.gruene-mittelmark-flaeming.de
10501501,OV,Kleinmachnow,
10501502,OV,Nuthetal,www.gruene-nuthetal.de
10501504,OV,Stahnsdorf,
10501505,OV,Teltow,
10501506,OV,Werder,
10501508,OV,Belzig,
10501509,OV,Borkheide-Borkwalde,
10501510,OV,Michendorf,
10501512,OV,Schwielowsee,
10501600,KV,Dahme-Spreewald,http://www.gruene-dahme-spreewald.de/
10501700,KV,Prignitz,http://www.grueneprignitz.de/
10501701,OV,Wittenberge,
10501800,KV,Uckermark,http://www.gruene-um.de
10600000,LV,Hamburg,http://www.hamburg.gruene.de/
10600100,KV,Hamburg-Altona,http://www.gruene-altona.de
10600200,KV,Hamburg-Bergedorf,http://www.gruene-bergedorf.de
